id|filename|username|source|is_expert|provider_institute_id|is_hybrid|hybrid_memo|cult_stat|botrecat|x1_genus|x1_sp1|country|latitude|longitude|alt|field_collected_data|data_public_access
78|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|0.50000|32.95000||0|1
79|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|eichingeri|Uganda|3.08710|31.65000|914.00000|0|1
80|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Angola|-15.33300|16.72660||0|1
81|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Angola|-15.65000|15.81000||0|1
82|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Botswana|-18.71800|23.77410||0|1
83|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Botswana|-19.28410|23.70250||0|1
84|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-15.16600|35.30000||0|1
85|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Mozambique|-16.47230|39.70550||0|1
86|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-7.65000|34.91660|823.00000|0|1
87|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-5.61660|34.05830|1280.00000|0|1
88|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-5.38330|34.76660|1463.00000|0|1
89|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-4.45000|29.75000|1219.00000|0|1
90|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-4.78330|34.75000||0|1
91|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-5.33300|34.00000|1372.00000|0|1
92|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-5.56666|34.20000||0|1
93|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-6.83330|36.98330||0|1
94|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-7.58330|34.50000|884.00000|0|1
95|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-7.65000|34.91660|838.00000|0|1
96|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-7.58330|34.50000|884.00000|0|1
97|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-8.00000|32.41600||0|1
98|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-5.73333|34.83300||0|1
99|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Tanzania|-8.43300|32.48300||0|1
100|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Uganda|2.71666|34.25000|2682.00000|0|1
101|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Zambia|-13.06660|31.78300|610.00000|0|1
102|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-14.05000|34.50000||0|1
103|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-9.95000|33.81666|1278.00000|0|1
104|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-9.80000|33.85000||0|1
105|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-9.90000|33.91660|643.00000|0|1
106|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-10.01660|33.93000|626.00000|0|1
107|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-10.48330|34.18330|394.00000|0|1
108|raw_ABCIC_ff|ckhoury|H|1|ABCIC|0|||voucher|Oryza|barthii|Malawi|-10.31660|34.16600|553.00000|0|1
